47401,稚内,わっかない,45,25,141,41,稚内地方気象台,1,1,1,,稚内,稚内地方気象台,稚内
47402,北見枝幸,きたみえさし,44,56,142,35,北見枝幸特別地域気象観測所,,,,,,,北見枝幸
47404,羽幌,はぼろ,44,22,141,42,羽幌特別地域気象観測所,,,,,,,羽幌
47405,雄武,おうむ,44,35,142,58,雄武特別地域気象観測所,,,,,,,雄武
47406,留萌,るもい,43,57,141,38,留萌特別地域気象観測所,,,,,留萌,,留萌
47407,旭川,あさひかわ,43,45,142,22,旭川地方気象台,1,1,1,,,旭川地方気象台,旭川
47409,網走,あばしり,44,1,144,17,網走地方気象台,1,1,1,,網走,網走地方気象台,網走
47411,小樽,おたる,43,11,141,1,小樽特別地域気象観測所,,,,,,,小樽
47412,札幌,さっぽろ,43,4,141,20,札幌管区気象台,1,1,1,札幌,,札幌管区気象台,札幌
47413,岩見沢,いわみざわ,43,13,141,47,岩見沢特別地域気象観測所,,,,,,,岩見沢
47417,帯広,おびひろ,42,55,143,13,帯広測候所,1,1,1,,,,帯広
47418,釧路,くしろ,42,59,144,23,釧路地方気象台,1,1,1,,釧路,釧路地方気象台,釧路
47420,根室,ねむろ,43,20,145,35,根室特別地域気象観測所,,,,,,,根室
47421,寿都,すっつ,42,48,140,13,寿都特別地域気象観測所,,,,,寿都,,寿都
47423,室蘭,むろらん,42,19,140,59,室蘭地方気象台,1,1,1,,,室蘭地方気象台,室蘭
47424,苫小牧,とまこまい,42,37,141,33,苫小牧特別地域気象観測所,,,,,,,苫小牧
47426,浦河,うらかわ,42,10,142,47,浦河特別地域気象観測所,,,,,浦河,,浦河
47428,江差,えさし,41,52,140,7,江差特別地域気象観測所,,,,,江差,,江差
47430,函館,はこだて,41,49,140,45,函館地方気象台,1,1,1,,函館,函館地方気象台,函館
47433,倶知安,くっちゃん,42,54,140,45,倶知安特別地域気象観測所,,,,,,,倶知安
47435,紋別,もんべつ,44,21,143,21,紋別特別地域気象観測所,,,,,,,紋別
47440,広尾,ひろお,42,18,143,19,広尾特別地域気象観測所,,,,,,,広尾
47512,大船渡,おおふなと,39,4,141,43,大船渡特別地域気象観測所,,,,,,,大船渡
47520,新庄,しんじょう,38,45,140,19,新庄特別地域気象観測所,,,,,,,新庄
47570,若松,わかまつ,37,29,139,55,若松特別地域気象観測所,,,,,,,若松
47574,深浦,ふかうら,40,39,139,56,深浦特別地域気象観測所,,,,,,,深浦
47575,青森,あおもり,40,49,140,46,青森地方気象台,1,1,1,,,青森地方気象台,青森
47576,むつ,むつ,41,17,141,13,むつ特別地域気象観測所,,,,,,,むつ
47581,八戸,はちのへ,40,32,141,31,八戸特別地域気象観測所,,,,,八戸,,八戸
47582,秋田,あきた,39,43,140,6,秋田地方気象台,1,1,1,,,秋田地方気象台,秋田
47584,盛岡,もりおか,39,42,141,10,盛岡地方気象台,1,1,1,,,盛岡地方気象台,盛岡
47585,宮古,みやこ,39,39,141,58,宮古特別地域気象観測所,,,,,宮古,,宮古
47587,酒田,さかた,38,55,139,51,酒田特別地域気象観測所,,,,,,,酒田
47588,山形,やまがた,38,15,140,21,山形地方気象台,1,1,1,,,山形地方気象台,山形
47590,仙台,せんだい,38,16,140,54,仙台管区気象台,1,1,1,,仙台,仙台管区気象台,仙台
47592,石巻,いしのまき,38,26,141,18,石巻特別地域気象観測所,,,,,,,石巻
47595,福島,ふくしま,37,46,140,28,福島地方気象台,1,1,1,,,福島地方気象台,福島
47597,白河,しらかわ,37,8,140,13,白河特別地域気象観測所,,,,,,,白河
47598,小名浜,おなはま,36,57,140,54,小名浜特別地域気象観測所,,,,,小名浜,,小名浜
47600,輪島,わじま,37,24,136,54,輪島特別地域気象観測所,,,,,輪島,,輪島
47602,相川,あいかわ,38,2,138,14,相川特別地域気象観測所,,,,,相川,,相川
47604,新潟,にいがた,37,55,139,3,新潟地方気象台,1,1,1,,新潟,新潟地方気象台,新潟
47605,金沢,かなざわ,36,35,136,38,金沢地方気象台,1,1,1,,,金沢地方気象台,金沢
47606,伏木,ふしき,36,48,137,3,伏木特別地域気象観測所,,,,,,,伏木
47607,富山,とやま,36,43,137,12,富山地方気象台,1,1,1,,,富山地方気象台,富山
47610,長野,ながの,36,40,138,12,長野地方気象台,1,1,1,,,長野地方気象台,長野
47612,高田,たかだ,37,6,138,15,高田特別地域気象観測所,,,,,,,高田
47615,宇都宮,うつのみや,36,33,139,52,宇都宮地方気象台,1,1,1,,,宇都宮地方気象台,宇都宮
47616,福井,ふくい,36,3,136,13,福井地方気象台,1,1,1,,,福井地方気象台,福井
47617,高山,たかやま,36,9,137,15,高山特別地域気象観測所,,,,,,,高山
47618,松本,まつもと,36,15,137,58,松本特別地域気象観測所,,,,,,,松本
47620,諏訪,すわ,36,3,138,7,諏訪特別地域気象観測所,,,,,,,諏訪
47622,軽井沢,かるいざわ,36,21,138,33,軽井沢特別地域気象観測所,,,,,,,軽井沢
47624,前橋,まえばし,36,24,139,4,前橋地方気象台,1,1,1,,,前橋地方気象台,前橋
47626,熊谷,くまがや,36,9,139,23,熊谷地方気象台,1,1,1,,,熊谷地方気象台,熊谷
47629,水戸,みと,36,23,140,28,水戸地方気象台,1,1,1,,,水戸地方気象台,水戸
47631,敦賀,つるが,35,39,136,4,敦賀特別地域気象観測所,,,,,,,敦賀
47632,岐阜,ぎふ,35,24,136,46,岐阜地方気象台,1,1,1,,,岐阜地方気象台,岐阜
47636,名古屋,なごや,35,10,136,58,名古屋地方気象台,1,1,1,,名古屋,名古屋地方気象台,名古屋
47637,飯田,いいだ,35,31,137,49,飯田特別地域気象観測所,,,,,,,飯田
47638,甲府,こうふ,35,40,138,33,甲府地方気象台,1,1,1,,,甲府地方気象台,甲府
47640,河口湖,かわぐちこ,35,30,138,46,河口湖特別地域気象観測所,,,,,,,河口湖
47641,秩父,ちちぶ,35,59,139,4,秩父特別地域気象観測所,,,,,,,秩父
47646,館野,たての,36,3,140,8,,,,,つくば,,,館野
47648,銚子,ちょうし,35,44,140,51,銚子地方気象台,1,1,1,,銚子,銚子地方気象台,銚子
47649,上野,うえの,34,46,136,9,上野特別地域気象観測所,,,,,,,上野
47651,津,つ,34,44,136,31,津地方気象台,1,1,1,,,津地方気象台,津
47653,伊良湖,いらこ,34,38,137,6,伊良湖特別地域気象観測所,,,,,,,伊良湖
47654,浜松,はままつ,34,43,137,43,浜松特別地域気象観測所,,,,,,,浜松
47655,御前崎,おまえざき,34,36,138,13,御前崎特別地域気象観測所,,,,,御前崎,,御前崎
47656,静岡,しずおか,34,59,138,24,静岡地方気象台,1,1,1,,,静岡地方気象台,静岡
47657,三島,みしま,35,7,138,56,三島特別地域気象観測所,,,,,,,三島
47662,東京,とうきょう,35,41,139,46,気象庁,1,1,1,,,気象庁,東京
47663,尾鷲,おわせ,34,4,136,12,尾鷲特別地域気象観測所,,,,,,,尾鷲
47666,石廊崎,いろうざき,34,36,138,51,石廊崎特別地域気象観測所,,,,,,,石廊崎
47668,網代,あじろ,35,3,139,6,網代特別地域気象観測所,,,,,,,網代
47670,横浜,よこはま,35,26,139,39,横浜地方気象台,1,1,1,,,横浜地方気象台,横浜
47672,館山,たてやま,34,59,139,52,館山特別地域気象観測所,,,,,,,館山
47674,勝浦,かつうら,35,9,140,19,勝浦特別地域気象観測所,,,,,,,勝浦
47675,大島,おおしま,34,45,139,22,大島特別地域気象観測所,,,,,大島,,大島
47677,三宅島,みやけじま,34,7,139,31,三宅島特別地域気象観測所,,,,,三宅島,,三宅島
47678,八丈島,はちじょうじま,33,7,139,47,八丈島特別地域気象観測所,,,,,八丈島,,八丈島
47682,千葉,ちば,35,36,140,6,千葉特別地域気象観測所,,,,,,,千葉
47684,四日市,よっかいち,34,56,136,35,四日市特別地域気象観測所,,,,,,,四日市
47690,日光,にっこう,36,44,139,30,日光特別地域気象観測所,,,,,,,日光
47740,西郷,さいごう,36,12,133,20,西郷特別地域気象観測所,,,,,西郷,,西郷
47741,松江,まつえ,35,27,133,4,松江地方気象台,1,1,1,,,松江地方気象台,松江
47742,境,さかい,35,33,133,14,境特別地域気象観測所,,,,,,,境
47744,米子,よなご,35,26,133,20,米子特別地域気象観測所,,,,,,,米子
47746,鳥取,とっとり,35,29,134,14,鳥取地方気象台,1,1,1,,,鳥取地方気象台,鳥取
47747,豊岡,とよおか,35,32,134,49,豊岡特別地域気象観測所,,,,,,,豊岡
47750,舞鶴,まいづる,35,27,135,19,舞鶴特別地域気象観測所,,,,,,,舞鶴
47754,萩,はぎ,34,25,131,24,萩特別地域気象観測所,,,,,,,萩
47755,浜田,はまだ,34,54,132,4,浜田特別地域気象観測所,,,,,,,浜田
47756,津山,つやま,35,4,134,1,津山特別地域気象観測所,,,,,,,津山
47759,京都,きょうと,35,1,135,44,京都地方気象台,1,1,1,,,京都地方気象台,京都
47761,彦根,ひこね,35,17,136,15,彦根地方気象台,1,1,1,,,彦根地方気象台,彦根
47762,下関,しものせき,33,57,130,56,下関地方気象台,1,1,1,,,下関地方気象台,下関
47765,広島,ひろしま,34,24,132,28,広島地方気象台,1,1,1,,,広島地方気象台,広島
47766,呉,くれ,34,14,132,33,呉特別地域気象観測所,,,,,,,呉
47767,福山,ふくやま,34,27,133,15,福山特別地域気象観測所,,,,,,,福山
47768,岡山,おかやま,34,40,133,55,岡山地方気象台,1,1,1,,,岡山地方気象台,岡山
47769,姫路,ひめじ,34,50,134,40,姫路特別地域気象観測所,,,,,,,姫路
47770,神戸,こうべ,34,42,135,13,神戸地方気象台,1,1,1,,神戸,神戸地方気象台,神戸
47772,大阪,おおさか,34,41,135,31,大阪管区気象台,1,1,1,,,大阪管区気象台,大阪
47776,洲本,すもと,34,20,134,54,洲本特別地域気象観測所,,,,,,,洲本
47777,和歌山,わかやま,34,14,135,10,和歌山地方気象台,1,1,1,,,和歌山地方気象台,和歌山
