1000,日本海北部及びオホーツク海南部,にほんかいほくぶおよびおほーつくかいなんぶ,1,1
1010,サハリン東方海上,さはりんとうほうかいじょう,1,0
1020,サハリン西方海上,さはりんせいほうかいじょう,1,0
1030,網走沖,あばしりおき,1,0
1040,宗谷海峡,そうやかいきょう,1,0
1050,北海道西方海上,ほっかいどうせいほうかいじょう,1,0
1100,北海道南方及び東方海上,ほっかいどうなんぽうおよびとうほうかいじょう,1,1
1110,北海道東方海上,ほっかいどうとうほうかいじょう,1,0
1120,釧路沖,くしろおき,1,0
1130,日高沖,ひだかおき,1,0
1140,津軽海峡,つがるかいきょう,1,0
1150,檜山津軽沖,ひやまつがるおき,1,0
2000,三陸沖,さんりくおき,1,1
2010,三陸沖東部,さんりくおきとうぶ,1,0
2020,三陸沖西部,さんりくおきせいぶ,1,0
3000,関東海域,かんとうかいいき,1,1
3010,関東海域北部,かんとうかいいきほくぶ,1,0
3020,関東海域南部,かんとうかいいきなんぶ,1,0
3100,日本海中部,にほんかいちゅうぶ,1,1
3110,沿海州南部沖,えんかいしゅうなんぶおき,1,0
3120,秋田沖,あきたおき,1,0
3130,佐渡沖,さどおき,1,0
3140,能登沖,のとおき,1,0
3200,東海海域,とうかいかいいき,1,1
3210,東海海域東部,とうかいかいいきとうぶ,1,0
3220,東海海域西部,とうかいかいいきせいぶ,1,0
3230,東海海域南部,とうかいかいいきなんぶ,1,0
4000,四国沖及び瀬戸内海,しこくおきおよびせとないかい,1,1
4010,瀬戸内海,せとないかい,1,0
4020,四国沖北部,しこくおきほくぶ,1,0
4030,四国沖南部,しこくおきなんぶ,1,0
4100,日本海西部,にほんかいせいぶ,1,1
4110,日本海北西部,にほんかいほくせいぶ,1,0
4120,山陰沖東部及び若狭湾付近,さんいんおきとうぶおよびわかさわんふきん,1,0
4130,山陰沖西部,さんいんおきせいぶ,1,0
5000,対馬海峡,つしまかいきょう,1,1
5100,九州西方海上,きゅうしゅうせいほうかいじょう,1,1
5110,済州島西海上,ちぇじゅとうにしかいじょう,1,0
5120,長崎西海上,ながさきにしかいじょう,1,0
5130,女島南西海上,めしまなんせいかいじょう,1,0
5200,九州南方海上及び日向灘,きゅうしゅうなんぽうかいじょうおよびひゅうがなだ,1,1
5210,日向灘,ひゅうがなだ,1,0
5220,鹿児島海域,かごしまかいいき,1,0
5230,奄美海域,あまみかいいき,1,0
6000,沖縄海域,おきなわかいいき,1,1
6010,東シナ海南部,ひがししなかいなんぶ,1,0
6020,沖縄東方海上,おきなわとうほうかいじょう,1,0
6030,沖縄南方海上,おきなわなんぽうかいじょう,1,0
9999,全般海上予報区,ぜんぱんかいじょうよほうく,0,1
